PROGRAM KODU;PROGRAM ADI;ÖĞRENİM SÜRESİ;PUAN TÜRÜ ;KONTENJAN ;OKUL BİRİNCİSİ KONT.;MEB;AÇIKLAMALAR;0,12 BAŞARI;TABAN PUAN;P. DR. SAYI;D. DR.SAYI;DR. ÖĞR.ÜYE SAYI;GRV;AKREDİTE;TUS TT1;TUS TT2;TUS KTP;DUS;AB AYP;KPSS-1;KPSS-2
;ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi);;;;;;;;;;;;;;;;;;;;
;İnsan ve Toplum Bilimleri Fakültesi;;;;;;;;;;;;;;;;;;;;
106510089;  Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce);4;EA;50;2;;17, 21, 28, 838;...;----;;;3;;;;;;;;;
;Mimarlık Fakültesi;;;;;;;;;;;;;;;;;;;;
106510014;  Mimarlık (İngilizce);4;SAY;60;2;;13, 17, 21, 28, 838;40700;418,77754;;2;3;;;;;;;;79.011208;
;Mühendislik Fakültesi;;;;;;;;;;;;;;;;;;;;
106510077;  Bilgisayar Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;28600;441,10438;1;;5;;;;;;;;71.074050;
106510068;  Elektrik-Elektronik Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;33800;431,11651;2;5;3;;;;;;;;73.422086;
106510023;  Endüstri Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;56700;393,20969;2;1;2;;;;;;;;76.386524;
106510032;  İnşaat Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;61200;386,75130;;2;4;;;;;;;;70.009470;
106510041;  Makine Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;52300;399,82740;1;;4;;;;;;;;78.842900;
;Yaşam ve Doğa Bilimleri Fakültesi;;;;;;;;;;;;;;;;;;;;
106510087;  Biyomühendislik (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;142000;309,51809;1;;3;;;;;;;;;
106510086;  Moleküler Biyoloji ve Genetik (İngilizce);4;SAY;60;2;;17, 21, 28, 838;77700;365,66492;;;5;;;;;;;;;
;Yönetim Bilimleri Fakültesi;;;;;;;;;;;;;;;;;;;;
106510088;  Ekonomi (İngilizce);4;EA;50;2;;17, 21, 28, 838;...;----;;1;2;;;;;;;;;
106510059;  İşletme (İngilizce);4;EA;60;2;;17, 21, 28, 838;133000;318,53306;1;;4;;;;;;;;83.691801;71.940060
;ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi) ;;;;;;;;;;;;;;;;;;;;
