PROGRAM KODU;PROGRAM ADI;ÖĞRENİM SÜRESİ;PUAN TÜRÜ ;KONTENJAN ;OKUL BİRİNCİSİ KONT.;MEB;AÇIKLAMALAR;0,12 BAŞARI;TABAN PUAN;P. DR. SAYI;D. DR.SAYI;DR. ÖĞR.ÜYE SAYI;GRV;AKREDİTE;TUS TT1;TUS TT2;TUS KTP;DUS;AB AYP;KPSS-1;KPSS-2
;"ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)";;;;;;;;;;;;;;;;;;;;
;İnsan ve Toplum Bilimleri Fakültesi;;;;;;;;;;;;;;;;;;;;
106510090;Psikoloji (İngilizce);4;EA;40;1;;17, 21, 28, 838;...;----;;;3;;;;;;;;;
106510089;Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce);4;EA;50;2;;17, 21, 28, 838;248360;296,78057;;;3;;;;;;;;;
;Mimarlık Fakültesi;;;;;;;;;;;;;;;;;;;;
106510014;Mimarlık (İngilizce);4;SAY;60;2;;13, 17, 21, 28, 838;86951;373,67182;1;;2;;;;;;;;83,680623;70,651370
;Mühendislik Fakültesi;;;;;;;;;;;;;;;;;;;;
106510077;Bilgisayar Mühendisliği (İngilizce);4;SAY;70;2;;16, 17, 21, 28, 838;40724;433,29704;1;;5;;;;;;;;80,264641;
106510068;Elektrik-Elektronik Mühendisliği (İngilizce);4;SAY;70;2;;16, 17, 21, 28, 838;52177;416,68699;2;5;3;;;;;;;;67,887523;
106510023;Endüstri Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;79454;382,10317;2;1;2;;;;;;;;72,222270;
106510032;İnşaat Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;;;;2;4;;;;;;;;79,263043;
106510041;Makine Mühendisliği (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;77021;384,98451;1;;4;;;;;;;;72,265750;
;Yaşam ve Doğa Bilimleri Fakültesi;;;;;;;;;;;;;;;;;;;;
106510087;Biyomühendislik (İngilizce);4;SAY;60;2;;16, 17, 21, 28, 838;235114;280,85647;1;;3;;;;;;;;;
106510086;Moleküler Biyoloji ve Genetik (İngilizce);4;SAY;60;2;;17, 21, 28, 838;135863;330,72769;;;5;;;;;;;;75,741340;
;Yönetim Bilimleri Fakültesi;;;;;;;;;;;;;;;;;;;;
106510088;Ekonomi (İngilizce);4;EA;50;2;;17, 21, 28, 838;368109;272,55346;;1;2;;;;;;;;;
106510059;İşletme (İngilizce);4;EA;60;2;;17, 21, 28, 838;217705;304,68055;1;;3;;;;;;;;75,094331;75,588800
